"dolore al petto","dolore al petto","dolore toracico","forte dolore al torace","fitta al petto","dolore al torace","oppressione al petto","male al petto","fitte al petto"
"difficoltà respiratoria","difficoltà respiratoria","difficoltà respiratorie","respiro affannoso","respiro corto","dispnea","non riesco a respirare","fame d'aria","fiatone"
"mancanza di respiro","mancanza di respiro","apnea","assenza di respiro"
"perdita di coscienza","perdita di coscienza","collasso","perdita dei sensi","blackout","svenuto","svenuta"
"svenimento","svenimento","perdere i sensi","svenire","malore"
"paralisi","paralisi","non riesco a muovermi","blocco motorio","paresi","paralizzato"
"convulsioni","convulsioni","crisi epilettica","tremori forti","spasmi","attacchi convulsivi","convulsione"
"emorragia","emorragia","sanguinamento abbondante","perdita di sangue grave","dissanguamento"
"trauma cranico","trauma cranico","colpo alla testa","botta in testa","trauma alla testa","commozione cerebrale"
"difficoltà a parlare","difficoltà a parlare","non riesco a parlare","biascicare","difficoltà di parola","afasia"
"avvelenamento","avvelenamento","intossicazione","ingerito veleno","tossico"
"shock","shock","shock anafilattico","collasso cardiocircolatorio","shock allergico"
"febbre","febbre","febbre alta","temperatura alta","alterazione","febbrone","decimi di febbre","stato febbrile"
"nausea","nausea","conati","senso di vomito","mal di mare"
"vomito","vomito","rimettere","vomitare","rigetto","rigurgito"
"vertigini","vertigini","capogiro","giramento di testa","instabilità","sbandamento","vertigine"
"dolore addominale","dolore addominale","dolore addominale acuto","male alla pancia","crampi addominali","dolore alla pancia","fitte alla pancia","mal di pancia"
"diarrea","diarrea","scariche","diarrea liquida","dissenteria","scariche di pancia"
"dolore lombare","dolore lombare","mal di schiena basso","dolore alla zona lombare","lombaggine","colpo della strega"
"mal di schiena","mal di schiena","dolore alla schiena","mal di schiena forte","dolore dorsale"
"gonfiore","gonfiore","edema","gonfiore alle gambe","gonfiore alle mani","tumefazione","gonfiore lieve"
"eruzione cutanea","eruzione cutanea","orticaria","sfogo cutaneo","macchie sulla pelle","esantema","dermatite"
"dolore articolare","dolore articolare","dolore alle articolazioni","male alle giunture","dolore alle ginocchia","dolore ai polsi"
"crampi","crampi","crampo","spasmi muscolari","contrattura"
"sangue dal naso","sangue dal naso","epistassi","sanguinamento nasale","mi esce sangue dal naso"
"difficoltà a urinare","difficoltà a urinare","dolore a urinare","bruciore a urinare","disuria","non riesco a fare pipì"
"sudorazione","sudorazione","sudorazione eccessiva","sudore","sudare freddo","iperidrosi","sudato"
"brividi","brividi","brividi di freddo","brivido","tremore"
"confusione","confusione","confusione mentale","stato confusionale","disorientamento","confuso"
"emicrania","emicrania","forte emicrania improvvisa","forte emicrania","attacco di emicrania","mal di testa forte"
"intorpidimento","intorpidimento","intorpidimento improvviso","formicolio","perdita di sensibilità","addormentamento degli arti"
"battito irregolare","battito irregolare","battito cardiaco irregolare","aritmia","tachicardia","extrasistole"
"palpitazioni","palpitazioni","palpitazioni forti","cardiopalmo","batticuore"
"frattura","frattura","frattura esposta","osso rotto","frattura ossea","braccio rotto","gamba rotta"
"ustione","ustione","ustione grave","bruciatura","ustionato"
"visione offuscata","visione offuscata","visione confusa improvvisa","vista offuscata","visione doppia","non ci vedo bene"
"emottisi","emottisi","tosse con sangue","tosse ematica","espettorato con sangue"
"mal di testa","mal di testa","cefalea","emicrania lieve","cerchio alla testa"
"tosse","tosse","tosse persistente","tosse secca","tosse grassa","tosse stizzosa","tosse catarrosa"
"raffreddore","raffreddore","naso che cola","rinite","costipazione"
"stanchezza","stanchezza","affaticamento","astenia","fiacchezza"
"spossatezza","spossatezza","spossatezza intensa","debolezza","sonnolenza"
"naso chiuso","naso chiuso","congestione nasale","naso intasato"
"mal di gola","mal di gola","mal di gola leggero","dolore alla gola","gola infiammata","bruciore alla gola","faringite"
"starnuti","starnuti","starnutire","starnuto"
"prurito","prurito","prurito cutaneo","pizzicore"
"dolore muscolare","dolore muscolare","lieve dolore muscolare","dolore muscolare intenso","mialgia","dolori muscolari","male ai muscoli"
"mal di stomaco","mal di stomaco","lieve mal di stomaco","bruciore di stomaco","acidità di stomaco","cattiva digestione"
"insonnia","insonnia","non riesco a dormire","disturbi del sonno","veglia"
"occhi arrossati","occhi arrossati","occhi rossi","iperemia congiuntivale","irritazione oculare"
"lacrimazione","lacrimazione","lacrimazione eccessiva","occhi che lacrimano"
"sensazione di freddo","sensazione di freddo","freddo","freddolosità"
"inappetenza","inappetenza","mancanza di appetito","non ho fame"
"irritazione cutanea","irritazione cutanea","pelle irritata","rossore sulla pelle"
